2
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 -9.94 -53.27 0 9.94)_mu=0_STABLE=0-1.06(seg=0.00).png,-80.976651,0.000000,-15.114552,-80.976651,-0.000000,15.114552
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 -9.94 -53.27 0 9.94)_mu=0_STABLE=0-1.06(seg=1.51).png,-214.161933,0.000000,-39.974013,-214.161933,-0.000000,39.974013
1.66,-230.144166416647,6.96791975247218e-11,-42.9571482811773,-230.144166416647,-6.94490339802484e-11,42.9571482811774,1
1.67,-231.209648668559,6.64701499137471e-11,-43.1560239676615,-231.209648668559,-6.65513471154872e-11,43.1560239676615,1
1.68,-232.275130920471,6.3415748563847e-11,-43.3548996541458,-232.275130920471,-6.34219874968284e-11,43.3548996541458,1
1.69,-233.340613172384,6.07291909902191e-11,-43.55377534063,-233.340613172384,-6.08538646990758e-11,43.55377534063,1
1.7,-234.406095424297,5.80840500480004e-11,-43.7526510271142,-234.406095424297,-5.8171307614624e-11,43.7526510271142,1
1.71,-235.471577676211,5.60466012792735e-11,-43.9515267135986,-235.471577676211,-5.59842390545143e-11,43.9515267135986,1
1.72,-236.537059928125,5.35525345856519e-11,-44.1504024000829,-236.537059928125,-5.35247004053788e-11,44.1504024000829,1
1.73,-237.60254218004,5.16079165079758e-11,-44.3492780865673,-237.60254218004,-5.16504239551907e-11,44.3492780865673,1
1.74,-238.668024431954,4.98587473390932e-11,-44.5481537730517,-238.668024431954,-4.99092574993837e-11,44.5481537730517,1
1.75,-239.73350668387,4.80480878608386e-11,-44.7470294595361,-239.73350668387,-4.8013516123005e-11,44.7470294595362,1
1.76,-240.798988935785,4.60967506570389e-11,-44.9459051460206,-240.798988935785,-4.60662056460739e-11,44.9459051460205,1
1.77,-241.8644711877,4.44509803314633e-11,-45.144780832505,-241.8644711877,-4.43194606448288e-11,45.144780832505,1
1.78,-242.929953439616,4.25140216000347e-11,-45.3436565189896,-242.929953439616,-4.24380877661612e-11,45.3436565189896,1
